mode_main,distance,main_reason,week_day,age,education,female,main_activity,license,cars,temp,precip,wind
11,6.66058,2,3,28,1,0,1,1,1,20.8,0,2.2
11,6.5865,2,4,36,1,0,1,1,1,20.2,0,2.5
11,0.408073,10,4,72,1,0,3,1,1,20.2,0,2.5
11,0.695542,2,4,30,1,0,1,1,1,20.2,0,2.5
11,5.08734,8,4,30,1,0,1,1,1,20.2,0,2.5
11,12.2635,2,3,47,1,1,1,1,1,20.8,0,2.2
11,21.9165,2,3,56,1,0,1,1,1,20.8,0,2.2
2,16.0245,2,3,54,1,1,1,1,0,20.8,0,2.2
11,3.05354,12,4,54,3,1,1,1,1,20.2,0,2.5
11,2.83219,2,4,54,3,1,1,1,1,20.2,0,2.5
11,2.83219,12,4,54,3,1,1,1,1,20.2,0,2.5
11,40.8762,2,4,48,3,0,1,1,1,20.2,0,2.5
8,4.97655,4,4,14,1,0,6,0,0,20.2,0,2.5
11,10.1855,5,3,35,1,1,1,1,1,20.8,0,2.2
11,6.58531,2,3,36,1,0,1,1,1,20.8,0,2.2
2,18.4686,2,4,37,1,1,1,0,0,20.2,0,2.5
11,0.28684,12,4,37,1,0,1,1,1,20.2,0,2.5
11,0.5577,3,4,37,1,0,1,1,1,20.2,0,2.5
11,0.583434,12,4,37,1,0,1,1,1,20.2,0,2.5
11,0.326728,12,4,37,1,1,1,1,1,20.2,0,2.5
11,20.1445,2,4,37,1,1,1,1,1,20.2,0,2.5
11,20.1676,2,4,37,1,1,1,1,1,20.2,0,2.5
2,5.11133,4,4,16,1,1,6,0,0,20.2,0,2.5
11,16.7336,2,4,34,1,0,1,1,1,20.2,0,2.5
11,11.215,2,4,32,1,1,1,1,1,20.2,0,2.5
2,15.9236,6,2,56,1,1,1,0,0,3.6,19.9,1.7
11,0.716361,2,1,42,1,1,1,1,1,10.8,0,2.2
11,30.7245,2,1,33,2,1,2,1,1,8.8,0,1.1
2,6.82369,11,1,33,2,1,2,1,1,8.8,0,1.1
11,6.82868,2,4,52,3,0,1,1,1,5.4,0,2.8
2,15.5501,4,4,20,2,1,6,1,1,5.4,0,2.8
4,34.2873,2,3,55,1,0,1,1,1,7.6,0,4.2
4,35.7227,2,3,50,1,1,1,1,1,7.6,0,4.2
2,35.7227,2,3,41,1,1,1,1,1,7.6,0,4.2
2,35.7227,2,3,26,1,1,1,1,1,7.6,0,4.2
2,28.6293,4,3,21,1,1,6,1,1,7.6,0,4.2
2,31.4632,3,4,38,1,1,1,1,1,8.4,17.3,4.2
4,35.6349,2,1,33,3,1,2,1,1,10.8,0,2.2
11,35.6349,2,1,33,3,1,2,1,1,10.8,0,2.2
11,0.0902181,7,1,36,3,1,1,1,1,10.8,0,2.2
11,0.420014,9,1,36,3,1,1,1,1,10.8,0,2.2
11,0.484655,9,1,36,3,1,1,1,1,10.8,0,2.2
11,0.78609,10,3,83,1,0,3,1,1,7.6,0,4.2
11,0.227682,10,3,83,1,0,3,1,1,7.6,0,4.2
11,6.71403,2,2,43,2,1,1,1,1,10.9,0,3.6
11,5.85678,7,2,41,1,0,1,1,1,10.9,0,3.6
11,21.7802,2,2,41,1,0,1,1,1,10.9,0,3.6
11,16.3005,2,2,41,1,0,1,1,1,10.9,0,3.6
2,15.3383,6,2,48,1,0,1,1,1,10.9,0,3.6
2,1.49812,10,2,32,1,1,4,0,0,10.9,0,3.6
2,7.56321,10,2,32,1,1,4,0,0,10.9,0,3.6
2,10.6044,2,4,55,1,0,1,1,1,8.9,0.1,5
3,1.06998,4,4,18,1,1,6,0,0,8.9,0.1,5
3,1.06998,4,4,16,1,1,6,0,0,8.9,0.1,5
2,8.10339,7,4,73,1,0,3,1,0,8.9,0.1,5
11,0.498756,2,4,39,1,1,1,1,1,8.9,0.1,5
1,11.8016,2,4,23,1,1,1,0,0,8.9,0.1,5
3,0.790978,12,2,86,2,1,3,0,0,5.4,17.6,NULL
11,1.43835,7,3,48,3,1,1,1,1,8.2,0,3.1
11,23.7056,2,3,48,3,1,1,1,1,8.2,0,3.1
11,25.1328,2,3,48,3,1,1,1,1,8.2,0,3.1
11,2.96092,5,4,31,2,1,4,1,1,20,0,1.1
11,25.4214,2,4,32,1,0,1,1,1,20,0,1.1
11,0.319747,7,1,28,1,0,6,1,1,14.9,0,1.7
11,1.3332,2,4,41,2,0,1,1,1,14.4,0,1.9
11,28.4029,2,4,37,2,0,1,1,1,6.6,0,2.2
2,26.1947,2,1,40,1,1,1,0,0,6.8,2.7,NULL
2,0.433161,7,1,40,1,1,1,0,0,6.8,2.7,NULL
2,0.37444,9,1,9,1,0,6,0,0,6.8,2.7,NULL
2,26.8064,2,4,65,1,1,1,0,0,8.4,7.4,NULL
1,27.2277,2,4,50,1,0,1,1,1,8.4,7.4,NULL
11,32.5891,2,2,53,3,0,1,1,1,5.4,17.6,NULL
1,27.6103,4,2,21,1,0,6,0,0,5.4,17.6,NULL
2,27.6103,4,2,21,1,0,6,0,0,5.4,17.6,NULL
11,1.79645,5,4,64,1,1,3,1,1,18.7,0,2.5
11,19.1098,2,4,35,3,1,1,1,1,18.7,0,2.5
11,18.5239,2,4,31,3,0,1,1,1,18.7,0,2.5
11,1.67814,7,4,66,1,0,3,1,1,20.2,0,2.5
11,3.719,5,4,73,3,0,3,1,1,20.2,0,2.5
11,15.1245,2,2,50,2,0,1,1,1,12.3,0,4.4
2,28.8648,2,3,51,2,1,1,1,0,6.8,2.6,2.2
11,1.5978,6,1,49,2,0,1,1,1,7.4,2.1,3.6
11,6.21134,2,1,43,1,1,1,1,1,12.3,0,NULL
11,1.28548,7,1,47,2,0,4,1,1,12.3,0,NULL
3,2.10204,4,1,18,2,1,6,0,0,12.3,0,NULL
3,1.6265,2,4,47,1,1,1,0,0,20,0,1.1
11,42.0819,7,4,45,1,0,4,1,1,20,0,1.1
11,17.9213,7,4,47,3,1,8,1,1,20.2,0,2.5
11,6.06533,7,4,47,3,1,8,1,1,20.2,0,2.5
11,0.840185,5,4,47,3,1,8,1,1,20.2,0,2.5
3,2.80898,2,4,53,3,1,1,1,0,6.6,0,2.2
1,11.3931,2,4,26,1,0,1,1,0,6.6,0,2.2
11,0.343925,2,3,54,3,1,1,1,1,6.8,2.6,2.2
11,9.5993,2,3,55,1,0,1,1,1,6.8,2.6,2.2
2,9.5993,4,3,22,3,1,6,0,0,6.8,2.6,2.2
11,3.95164,2,3,47,1,1,1,1,1,7.8,19.2,1.9
2,32.7551,4,3,18,1,1,6,0,0,7.8,19.2,1.9
11,10.1527,2,4,58,1,0,1,1,1,12.3,0,1.1
11,34.3008,2,4,53,1,1,1,1,1,12.3,0,1.1
11,32.2069,2,4,30,1,0,1,1,1,12.3,0,1.1
11,0.992721,8,4,26,1,0,4,1,1,12.3,0,1.1
11,10.9642,2,3,49,2,0,1,1,1,18.4,0,2.2
11,2.75441,2,3,21,1,0,1,1,1,18.4,0,2.2
3,1.23539,4,3,18,1,1,6,0,0,18.4,0,2.2
11,2.29832,2,2,46,2,1,1,1,1,3.6,19.9,1.7
11,2.69228,7,2,46,2,1,1,1,1,3.6,19.9,1.7
11,0.546756,7,2,46,2,1,1,1,1,3.6,19.9,1.7
11,1.43511,9,2,46,2,1,1,1,1,3.6,19.9,1.7
3,0.886389,5,3,66,1,0,3,0,0,6.8,2.6,2.2
11,3.30854,2,1,51,2,0,1,1,1,6.7,4.2,3.3
11,1.92821,2,1,48,1,1,1,1,1,6.7,4.2,3.3
2,25.269,2,2,28,3,1,2,1,0,6.3,0,5.3
3,1.53172,10,1,30,1,1,1,0,0,6.7,4.2,3.3
1,27.8249,2,4,45,1,1,1,0,0,20,0,1.1
11,8.26394,2,2,38,1,0,1,1,1,14.6,0,NULL
3,0.9296,4,2,17,1,0,6,0,0,14.6,0,NULL
11,1.06321,2,1,25,1,0,1,1,1,19,5.6,0.8
3,1.06321,2,1,21,1,1,1,0,0,19,5.6,0.8
11,3.2989,2,1,39,3,0,1,1,1,6.7,4.2,3.3
1,28.0047,2,2,44,3,1,1,1,0,18.8,0.2,1.1
11,15.4465,2,2,41,1,0,1,1,1,18.8,0.2,1.1
8,10.0122,2,1,60,2,0,1,1,1,17.6,13.5,1.4
3,2.34321,2,1,32,3,1,1,1,0,17.6,13.5,1.4
2,29.8293,2,1,61,1,1,1,0,0,19,5.6,0.8
11,1.68138,2,1,34,2,0,1,1,1,19,5.6,0.8
11,1.47536,7,4,50,3,1,4,1,1,12.3,0,1.1
11,1.19062,9,4,50,3,1,4,1,1,12.3,0,1.1
8,21.4334,4,4,6,1,0,6,0,0,12.3,0,1.1
8,20.3728,9,4,6,1,0,6,0,0,12.3,0,1.1
11,28.0342,2,4,42,3,1,1,1,1,14.4,0,1.9
11,25.1577,2,1,47,3,1,1,1,1,9.6,0,1.9
3,2.67259,2,3,61,1,1,1,0,0,9.8,22.9,3.1
1,30.1347,10,1,49,2,1,4,1,1,6.7,4.2,3.3
1,29.7669,10,1,49,2,1,4,1,1,6.7,4.2,3.3
11,6.05581,2,4,36,1,1,1,1,1,8.9,0.1,5
11,1.28842,4,4,36,1,0,2,1,1,8.9,0.1,5
11,4.17707,2,4,36,1,0,2,1,1,8.9,0.1,5
11,3.6061,2,3,47,3,1,1,1,1,8.2,0,3.1
8,13.8445,4,3,13,1,0,6,0,0,8.2,0,3.1
11,3.25256,5,1,64,1,0,3,1,1,14.9,0,1.7
11,2.27506,2,1,30,2,0,1,1,1,14.9,0,1.7
11,16.8641,10,1,71,3,0,3,1,1,14.9,0,1.7
1,30.5185,2,2,45,3,1,1,0,0,4.7,0,3.6
11,26.0135,2,1,40,1,1,1,1,1,17.6,13.5,1.4
11,18.6888,2,4,25,3,1,1,1,1,14.4,0,1.9
3,2.17904,9,4,73,1,0,3,0,0,8.4,7.4,NULL
11,26.9384,2,1,46,3,0,1,1,1,6.8,2.7,NULL
2,30.6918,4,1,30,1,1,6,0,0,6.8,2.7,NULL
11,8.09378,2,1,33,1,1,1,1,1,12.3,0,NULL
