,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
0,2018-02-01,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,1","2,3",07:40,"10,8",13:40,34,"2,8","13,3",17:30,"940,1",00,"929,5",17,69,81,Varias,47,16:00
1,2018-02-02,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,0","1,2",23:59,"7,7",13:20,99,"3,6","13,3",Varias,"940,5",23,"931,0",05,45,60,Varias,35,13:00
2,2018-02-03,3195,"MADRID, RETIRO",MADRID,667,"5,2","2,3","0,2",02:30,"10,3",14:30,28,"3,1","11,1",16:30,"942,0",10,"935,1",24,51,76,23:50,40,13:00
3,2018-02-04,3195,"MADRID, RETIRO",MADRID,667,"3,6","17,3","1,5",13:00,"5,8",00:00,04,"3,6","10,8",20:00,"935,1",00,"929,9",24,90,97,Varias,76,00:00
4,2018-02-05,3195,"MADRID, RETIRO",MADRID,667,"1,8","14,1","0,8",11:40,"2,8",06:00,06,"3,9","9,4",06:10,"930,9",24,"927,5",14,88,96,Varias,75,06:10
5,2018-02-06,3195,"MADRID, RETIRO",MADRID,667,"4,1","0,0","1,2",23:59,"7,0",13:30,01,"3,1","12,5",19:10,"934,8",24,"930,0",04,57,84,00:00,46,Varias
6,2018-02-07,3195,"MADRID, RETIRO",MADRID,667,"3,0","0,0","-1,6",06:30,"7,5",Varias,03,"2,8","9,2",18:30,"940,5",24,"934,8",00,53,73,Varias,43,17:00
7,2018-02-08,3195,"MADRID, RETIRO",MADRID,667,"3,0","0,0","-1,0",Varias,"7,0",13:30,05,"2,8","8,3",17:40,"942,1",24,"939,9",16,56,73,03:00,45,Varias
8,2018-02-09,3195,"MADRID, RETIRO",MADRID,667,"3,3","0,0","-1,9",07:00,"8,5",16:30,01,"1,1","10,0",23:59,"944,2",24,"941,3",Varias,65,82,08:00,53,Varias
9,2018-02-10,3195,"MADRID, RETIRO",MADRID,667,"5,7","0,0","2,3",08:00,"9,1",13:10,02,"2,2","10,8",03:00,"944,8",Varias,"942,2",16,48,64,23:59,42,14:20
10,2018-02-11,3195,"MADRID, RETIRO",MADRID,667,"7,5","0,1","0,7",07:50,"14,3",13:20,28,"3,1","11,7",14:20,"944,7",11,"940,6",23,66,83,08:00,54,13:00
11,2018-02-12,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","2,5",23:30,"11,1",00:00,34,"1,7","9,7",17:30,"943,4",Varias,"940,0",Varias,51,71,Varias,39,16:00
