,unidad_generadora,periodicidad,descripcion,formato,copyright,notaLegal,campos
0,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'fecha', 'descripcion': 'fecha del dia (AAAA-MM-DD)', 'tipo_datos': 'string', 'requerido': True}"
1,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'indicativo', 'descripcion': 'indicativo climatológico', 'tipo_datos': 'string', 'requerido': True}"
2,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'nombre', 'descripcion': 'nombre (ubicación) de la estación', 'tipo_datos': 'string', 'requerido': True}"
3,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'provincia', 'descripcion': 'provincia de la estación', 'tipo_datos': 'string', 'requerido': True}"
4,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'altitud', 'descripcion': 'altitud de la estación en m sobre el nivel del mar', 'tipo_datos': 'float', 'unidad': 'm', 'requerido': True}"
5,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'tmed', 'descripcion': 'Temperatura media diaria', 'tipo_datos': 'float', 'unidad': '°C', 'requerido': False}"
6,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'prec', 'descripcion': 'Precipitación diaria de 07 a 07', 'tipo_datos': 'float', 'unidad': 'mm (Ip = inferior a 0,1 mm) (Acum = Precipitación acumulada)', 'requerido': False}"
7,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'tmin', 'descripcion': 'Temperatura Mínima del día', 'tipo_datos': 'float', 'unidad': '°C', 'requerido': False}"
8,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'horatmin', 'descripcion': 'Hora y minuto de la temperatura mínima', 'tipo_datos': 'string', 'unidad': 'UTC', 'requerido': False}"
9,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'tmax', 'descripcion': 'Temperatura Máxima del día', 'tipo_datos': 'float', 'unidad': '°C', 'requerido': False}"
10,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'horatmax', 'descripcion': 'Hora y minuto de la temperatura máxima', 'tipo_datos': 'string', 'unidad': 'UTC', 'requerido': False}"
11,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'dir', 'descripcion': 'Dirección de la racha máxima', 'tipo_datos': 'float', 'unidad': 'decenas de grado (99 = dirección variable)(88 = sin dato)', 'requerido': False}"
12,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'velmedia', 'descripcion': 'Velocidad media del viento', 'tipo_datos': 'float', 'unidad': 'm/s', 'requerido': False}"
13,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'racha', 'descripcion': 'Racha máxima del viento', 'tipo_datos': 'float', 'unidad': 'm/s', 'requerido': False}"
14,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'horaracha', 'descripcion': 'Hora y minuto de la racha máxima', 'tipo_datos': 'string', 'unidad': 'UTC', 'requerido': False}"
15,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'sol', 'descripcion': 'Insolación', 'tipo_datos': 'float', 'unidad': 'horas', 'requerido': False}"
16,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'presmax', 'descripcion': 'Presión máxima al nivel de referencia de la estación', 'tipo_datos': 'float', 'unidad': 'hPa', 'requerido': False}"
17,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'horapresmax', 'descripcion': 'Hora de la presión máxima (redondeada a la hora entera más próxima)', 'tipo_datos': 'string', 'unidad': 'UTC', 'requerido': False}"
18,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'presmin', 'descripcion': 'Presión mínima al nivel de referencia de la estación', 'tipo_datos': 'float', 'unidad': 'hPa', 'requerido': False}"
19,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'horapresmin', 'descripcion': 'Hora de la presión mínima (redondeada a la hora entera más próxima)', 'tipo_datos': 'string', 'unidad': 'UTC', 'requerido': False}"
20,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'hrmedia', 'descripcion': 'Humedad relativa media diaria', 'tipo_datos': 'float', 'unidad': '%', 'requerido': False}"
21,Servicio del Banco Nacional de Datos Climatológicos,"1 vez al día, con un retardo de 4 días",Climatologías diarias,application/json,© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.,https://www.aemet.es/es/nota_legal,"{'id': 'hrmax', 'descripcion': 'Humedad relativa máxima diaria', 'tipo_datos': 'float', 'unidad': '%', 'requerido': False}"
